id,subscription,year,defect
263,high,1,0
263,high,2,0
263,high,3,1
264,high,1,0
264,high,2,0
264,high,3,1
265,high,1,0
265,high,2,0
265,high,3,1
266,high,1,0
266,high,2,0
266,high,3,1
267,high,1,0
267,high,2,0
267,high,3,1
268,high,1,0
268,high,2,0
268,high,3,1
269,high,1,0
269,high,2,0
269,high,3,1
270,high,1,0
270,high,2,0
270,high,3,1
271,high,1,0
271,high,2,0
271,high,3,1
272,high,1,0
272,high,2,0
272,high,3,1
273,high,1,0
273,high,2,0
273,high,3,1
274,high,1,0
274,high,2,0
274,high,3,1
275,high,1,0
275,high,2,0
275,high,3,1
276,high,1,0
276,high,2,0
276,high,3,1
277,high,1,0
277,high,2,0
277,high,3,1
278,high,1,0
278,high,2,0
278,high,3,1
279,high,1,0
279,high,2,0
279,high,3,1
280,high,1,0
280,high,2,0
280,high,3,1
281,high,1,0
281,high,2,0
281,high,3,1
282,high,1,0
282,high,2,0
282,high,3,1
283,high,1,0
283,high,2,0
283,high,3,1
284,high,1,0
284,high,2,0
284,high,3,1
285,high,1,0
285,high,2,0
285,high,3,1
286,high,1,0
286,high,2,0
286,high,3,1
287,high,1,0
287,high,2,0
287,high,3,1
288,high,1,0
288,high,2,0
288,high,3,1
289,high,1,0
289,high,2,0
289,high,3,1
290,high,1,0
290,high,2,0
290,high,3,1
291,high,1,0
291,high,2,0
291,high,3,1
292,high,1,0
292,high,2,0
292,high,3,1
293,high,1,0
293,high,2,0
293,high,3,1
294,high,1,0
294,high,2,0
294,high,3,1
295,high,1,0
295,high,2,0
295,high,3,1
296,high,1,0
296,high,2,0
296,high,3,1
297,high,1,0
297,high,2,0
297,high,3,1
298,high,1,0
298,high,2,0
298,high,3,1
299,high,1,0
299,high,2,0
299,high,3,1
300,high,1,0
300,high,2,0
300,high,3,1
301,high,1,0
301,high,2,0
301,high,3,1
302,high,1,0
302,high,2,0
302,high,3,1
303,high,1,0
303,high,2,0
303,high,3,1
304,high,1,0
304,high,2,0
304,high,3,1
305,high,1,0
305,high,2,0
305,high,3,1
306,high,1,0
306,high,2,0
306,high,3,1
307,high,1,0
307,high,2,0
307,high,3,1
308,high,1,0
308,high,2,0
308,high,3,1
309,high,1,0
309,high,2,0
309,high,3,1
310,high,1,0
310,high,2,0
310,high,3,1
311,high,1,0
311,high,2,0
311,high,3,1
312,high,1,0
312,high,2,0
312,high,3,1
313,high,1,0
313,high,2,0
313,high,3,1
314,high,1,0
314,high,2,0
314,high,3,1
315,high,1,0
315,high,2,0
315,high,3,1
316,high,1,0
316,high,2,0
316,high,3,1
317,high,1,0
317,high,2,0
317,high,3,1
318,high,1,0
318,high,2,0
318,high,3,1
319,high,1,0
319,high,2,0
319,high,3,1
320,high,1,0
320,high,2,0
320,high,3,1
321,high,1,0
321,high,2,0
321,high,3,1
322,high,1,0
322,high,2,0
322,high,3,1
323,high,1,0
323,high,2,0
323,high,3,1
324,high,1,0
324,high,2,0
324,high,3,1
325,high,1,0
325,high,2,0
325,high,3,1
326,high,1,0
326,high,2,0
326,high,3,1
327,high,1,0
327,high,2,0
327,high,3,1
328,high,1,0
328,high,2,0
328,high,3,1
329,high,1,0
329,high,2,0
329,high,3,1
330,high,1,0
330,high,2,0
330,high,3,1
331,high,1,0
331,high,2,0
331,high,3,1
332,high,1,0
332,high,2,0
332,high,3,1
333,high,1,0
333,high,2,0
333,high,3,1
334,high,1,0
334,high,2,0
334,high,3,1
335,high,1,0
335,high,2,0
335,high,3,1
336,high,1,0
336,high,2,0
336,high,3,1
337,high,1,0
337,high,2,0
337,high,3,1
338,high,1,0
338,high,2,0
338,high,3,1
339,high,1,0
339,high,2,0
339,high,3,1
340,high,1,0
340,high,2,0
340,high,3,1
341,high,1,0
341,high,2,0
341,high,3,1
342,high,1,0
342,high,2,0
342,high,3,1
343,high,1,0
343,high,2,0
343,high,3,1
344,high,1,0
344,high,2,0
344,high,3,1
345,high,1,0
345,high,2,0
345,high,3,1
346,high,1,0
346,high,2,0
346,high,3,1
347,high,1,0
347,high,2,0
347,high,3,1
348,high,1,0
348,high,2,0
348,high,3,0
348,high,4,1
349,high,1,0
349,high,2,0
349,high,3,0
349,high,4,1
350,high,1,0
350,high,2,0
350,high,3,0
350,high,4,1
351,high,1,0
351,high,2,0
351,high,3,0
351,high,4,1
352,high,1,0
352,high,2,0
352,high,3,0
352,high,4,1
353,high,1,0
353,high,2,0
353,high,3,0
353,high,4,1
354,high,1,0
354,high,2,0
354,high,3,0
354,high,4,1
355,high,1,0
355,high,2,0
355,high,3,0
355,high,4,1
356,high,1,0
356,high,2,0
356,high,3,0
356,high,4,1
357,high,1,0
357,high,2,0
357,high,3,0
357,high,4,1
358,high,1,0
358,high,2,0
358,high,3,0
358,high,4,1
359,high,1,0
359,high,2,0
359,high,3,0
359,high,4,1
360,high,1,0
360,high,2,0
360,high,3,0
360,high,4,1
361,high,1,0
361,high,2,0
361,high,3,0
361,high,4,1
362,high,1,0
362,high,2,0
362,high,3,0
362,high,4,1
363,high,1,0
363,high,2,0
363,high,3,0
363,high,4,1
364,high,1,0
364,high,2,0
364,high,3,0
364,high,4,1
365,high,1,0
